a,b,output,outputtype,datatype,metric,n_a,n_b,n_output,n_outputtype,n_datatype,count
206,false,DivideError(),error,DivideError,10.0,206,true,206,valid,UInt8,85
204,false,DivideError(),error,DivideError,10.0,204,true,204,valid,UInt8,38
203,false,DivideError(),error,DivideError,10.0,203,true,203,valid,UInt8,70
202,false,DivideError(),error,DivideError,10.0,202,true,202,valid,UInt8,38
201,false,DivideError(),error,DivideError,10.0,201,true,201,valid,UInt8,33
200,false,DivideError(),error,DivideError,10.0,200,true,200,valid,UInt8,69
199,false,DivideError(),error,DivideError,10.0,199,true,199,valid,UInt8,74
198,false,DivideError(),error,DivideError,10.0,198,true,198,valid,UInt8,50
197,false,DivideError(),error,DivideError,10.0,197,true,197,valid,UInt8,85
196,false,DivideError(),error,DivideError,10.0,196,true,196,valid,UInt8,66
196,0,DivideError(),error,DivideError,10.0,196,1,196,valid,UInt64,3
195,false,DivideError(),error,DivideError,10.0,195,true,195,valid,UInt8,73
194,false,DivideError(),error,DivideError,10.0,194,true,194,valid,UInt8,93
193,false,DivideError(),error,DivideError,10.0,193,true,193,valid,UInt8,71
192,false,DivideError(),error,DivideError,10.0,192,true,192,valid,UInt8,88
191,false,DivideError(),error,DivideError,10.0,191,true,191,valid,UInt8,45
190,false,DivideError(),error,DivideError,10.0,190,true,190,valid,UInt8,83
189,false,DivideError(),error,DivideError,10.0,189,true,189,valid,UInt8,85
188,false,DivideError(),error,DivideError,10.0,188,true,188,valid,UInt8,37
187,false,DivideError(),error,DivideError,10.0,187,true,187,valid,UInt8,83
186,false,DivideError(),error,DivideError,10.0,186,true,186,valid,UInt8,93
185,false,DivideError(),error,DivideError,10.0,185,true,185,valid,UInt8,42
184,false,DivideError(),error,DivideError,10.0,184,true,184,valid,UInt8,73
183,false,DivideError(),error,DivideError,10.0,183,true,183,valid,UInt8,59
182,false,DivideError(),error,DivideError,10.0,182,true,182,valid,UInt8,85
181,false,DivideError(),error,DivideError,10.0,181,true,181,valid,UInt8,44
180,0,DivideError(),error,DivideError,10.0,180,1,180,valid,UInt64,3
180,false,DivideError(),error,DivideError,10.0,180,true,180,valid,UInt8,75
179,false,DivideError(),error,DivideError,10.0,179,true,179,valid,UInt8,39
178,false,DivideError(),error,DivideError,10.0,178,true,178,valid,UInt8,70
177,false,DivideError(),error,DivideError,10.0,177,true,177,valid,UInt8,90
176,false,DivideError(),error,DivideError,10.0,176,true,176,valid,UInt8,85
175,false,DivideError(),error,DivideError,10.0,175,true,175,valid,UInt8,79
174,false,DivideError(),error,DivideError,10.0,174,true,174,valid,UInt8,34
173,false,DivideError(),error,DivideError,10.0,173,true,173,valid,UInt8,90
172,false,DivideError(),error,DivideError,10.0,172,true,172,valid,UInt8,74
171,false,DivideError(),error,DivideError,10.0,171,true,171,valid,UInt8,73
170,false,DivideError(),error,DivideError,10.0,170,true,170,valid,UInt8,83
169,false,DivideError(),error,DivideError,10.0,169,true,169,valid,UInt8,90
168,false,DivideError(),error,DivideError,10.0,168,true,168,valid,UInt8,37
167,false,DivideError(),error,DivideError,10.0,167,true,167,valid,UInt8,65
166,false,DivideError(),error,DivideError,10.0,166,true,166,valid,UInt8,86
165,false,DivideError(),error,DivideError,10.0,165,true,165,valid,UInt8,85
164,false,DivideError(),error,DivideError,10.0,164,true,164,valid,UInt8,79
163,false,DivideError(),error,DivideError,10.0,163,true,163,valid,UInt8,36
162,false,DivideError(),error,DivideError,10.0,162,true,162,valid,UInt8,41
161,false,DivideError(),error,DivideError,10.0,161,true,161,valid,UInt8,74
160,false,DivideError(),error,DivideError,10.0,160,true,160,valid,UInt8,35
159,false,DivideError(),error,DivideError,10.0,159,true,159,valid,UInt8,81
158,false,DivideError(),error,DivideError,10.0,158,true,158,valid,UInt8,80
157,false,DivideError(),error,DivideError,10.0,157,true,157,valid,UInt8,86
