bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i2_1,output1,output2
16,2,0,0,1,9.825250646565357e-9,9.986282243533348e-9,0.9838747200368518,1.01537927e8,-240647.0,101.5 MB,-240647B
11,40,9,0,1,9.770582139198026e-9,9.9999840000256e-9,0.9770597772129449,0.0,-1.02348047e8,0B,-102348047B
14,8,2,0,1,9.698932337648698e-9,9.131287168415243e-8,0.10621648578961482,1.03102643e8,-1489.0,103.1 MB,-1489B
15,12,5,0,1,9.692250874841949e-9,1.0000745355551348e-8,0.9691528511384248,-4962.0,-1.0318017e8,-4962B,-103180170B
15,12,4,0,1,9.674581238411605e-9,9.99861419207298e-9,0.9675922135371249,-1.03330811e8,32836.0,-103330811B,32.8 kB
15,4,1,0,1,9.615393768499838e-9,9.998358769408002e-9,0.9616972135386936,1.03987844e8,-12057.0,104.0 MB,-12057B
13,12,3,0,1,9.576606541347065e-9,9.265847382341807e-8,0.10335381262157933,1.0442052e8,-602.0,104.4 MB,-602B
12,32,8,0,1,9.491569644790915e-9,9.99998610001932e-9,0.9491582838072722,-1.05356654e8,-2.0,-105356654B,-2B
13,24,7,0,1,8.916167288483145e-9,9.999935600414733e-9,0.8916224708600483,-91.0,-1.12155905e8,-91B,-112155905B
15,4,0,0,1,8.833365025974819e-9,1.0095339477444432e-8,0.8749943521672365,1.13629193e8,422052.0,113.6 MB,422.1 kB
17,4,5,0,1,8.810360695197722e-9,9.899866317155186e-9,0.8899474410003404,-1.09841912e8,3.660819e6,-109841912B,3.7 MB
18,2,2,0,1,8.606811574290692e-9,1.1101866586804278e-8,0.7752580619659745,-1.0625953e8,-4.595866e6,-106259530B,-4595866B
18,2,4,0,1,7.992970661881115e-9,9.011650559227438e-9,0.8869596761823781,-1.01525503e8,1.5243765e7,-101525503B,15.2 MB
14,18,5,0,1,7.572164411649602e-9,9.99984850229519e-9,0.7572279129940439,4061.0,-1.32058576e8,4.1 kB,-132058576B
18,0,2,0,1,7.521127467549363e-9,1.0,7.521127467549363e-9,-2.5616082e7,1.07342707e8,-25616082B,107.3 MB
19,0,1,0,1,7.487776822079542e-9,1.0,7.487776822079542e-9,-1.65727481e8,-3.2176492e7,-165727481B,-32176492B
16,8,4,0,1,7.4296407843507866e-9,1.0007647043258695e-8,0.7423963647234648,-1.25637988e8,-15046.0,-125637988B,-15046B
17,4,3,0,1,5.968865442831719e-9,1.0097708864190925e-8,0.5911108671392629,-357862.0,-1.57422887e8,-357862B,-157422887B
14,18,6,0,1,4.723118334215864e-9,1.0000061800381926e-8,0.47230891453445584,-2.11725462e8,-934.0,-211725462B,-934B
17,4,4,0,1,4.416820081231505e-9,8.473515466040492e-9,0.5212500170599675,9.956817e6,-2.16450413e8,10.0 MB,-216450413B
19,0,3,0,1,3.7235681537171747e-9,4.730219051714066e-9,0.7871872556024406,-1.07435648e8,1.61123959e8,-107435648B,161.1 MB
19,0,2,0,1,2.5794351299651872e-9,1.9969646137870437e-5,0.0001291677935681367,1.218512461e9,8.30830682e8,1.2 GB,830.8 MB
18,2,1,0,1,1.0087320740681903e-9,1.110821949346737e-9,0.908095194429148,1.003421158e9,1.2077643e7,1.0 GB,12.1 MB
13,24,2,0,1,9.993152352241064e-10,9.999988070014233e-10,0.999316427407182,219.0,1.000685453e9,219B,1.0 GB
11,40,4,0,1,9.991292907952092e-10,9.999998340000276e-10,0.9991294566506714,1.000871476e9,8.0,1.0 GB,8B
12,32,3,0,1,9.98734191302399e-10,9.999993100004761e-10,0.998734880428991,-3.0,1.00126741e9,-3B,1.0 GB
12,50,10,0,1,9.98424095395221e-10,9.999999610000015e-10,0.9984241343337608,0.0,-1.001578392e9,0B,-1001578392B
13,40,9,0,1,9.96660826436878e-10,9.99999781000048e-10,0.996661044705599,-1.003350367e9,-6.0,-1003350367B,-6B
