a,b,output,outputtype,datatype,metric,n_a,n_b,n_output,n_outputtype,n_datatype,count
2,false,DivideError(),error,DivideError,12.0,2,true,2,valid,Int64,5
2,0,DivideError(),error,DivideError,12.0,2,1,2,valid,UInt64,2
2,false,DivideError(),error,DivideError,12.0,2,true,2,valid,UInt8,3
true,false,DivideError(),error,DivideError,9.0,true,true,true,valid,Bool,356
true,0,DivideError(),error,DivideError,12.0,true,1,1,valid,Int64,153
true,0,DivideError(),error,DivideError,12.0,true,1,1,valid,UInt8,11
false,false,DivideError(),error,DivideError,8.0,false,true,false,valid,Bool,381
0,false,DivideError(),error,DivideError,12.0,0,true,0,valid,UInt8,4
0,false,DivideError(),error,DivideError,12.0,0,true,0,valid,Int64,2
-1,false,DivideError(),error,DivideError,11.0,-1,true,-1,valid,Int64,4
-3,0,DivideError(),error,DivideError,11.0,-3,1,-3,valid,Int64,6
-4,false,DivideError(),error,DivideError,11.0,-4,true,-4,valid,Int64,3
-6,false,DivideError(),error,DivideError,11.0,-6,true,-6,valid,Int64,5
-8,false,DivideError(),error,DivideError,11.0,-8,true,-8,valid,Int64,2
-10,false,DivideError(),error,DivideError,10.0,-10,true,-10,valid,Int64,11
-12,false,DivideError(),error,DivideError,10.0,-12,true,-12,valid,Int64,4
-13,false,DivideError(),error,DivideError,10.0,-13,true,-13,valid,Int64,7
-14,false,DivideError(),error,DivideError,10.0,-14,true,-14,valid,Int64,4
-15,false,DivideError(),error,DivideError,10.0,-15,true,-15,valid,Int64,7
-16,false,DivideError(),error,DivideError,10.0,-16,true,-16,valid,Int64,3
-17,false,DivideError(),error,DivideError,10.0,-17,true,-17,valid,Int64,3
-18,false,DivideError(),error,DivideError,10.0,-18,true,-18,valid,Int64,7
-19,false,DivideError(),error,DivideError,10.0,-19,true,-19,valid,Int64,2
-24,false,DivideError(),error,DivideError,10.0,-24,true,-24,valid,Int64,3
-25,false,DivideError(),error,DivideError,10.0,-25,true,-25,valid,Int64,2
-26,false,DivideError(),error,DivideError,10.0,-26,true,-26,valid,Int64,3
