bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
14,8,6,1,1,2.8799617492173713e-5,6.243340929059126e-5,0.4612853569813594,-27100.0,-17207.0,1.0,0.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
19,3,6,1,1,2.8282060581569612e-5,0.0004848509748561333,0.05833145038011229,212706.0,25.0,245335.0,-1964.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
18,0,6,1,1,2.8158285051982568e-5,0.000697468051827501,0.04037215034896928,-5282.0,1036.0,27424.0,3924.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
16,6,10,1,1,2.779397678154839e-5,0.09426668117778846,0.0002948441213192656,0.0,433.0,-18818.0,-27987.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
19,2,6,1,1,2.7657498482477714e-5,0.002665276531647135,0.010376971452709051,267744.0,-61.0,234422.0,2596.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
19,0,6,1,1,2.71153839398642e-5,0.0004151110256577465,0.06532079916908898,13576.0,1017.0,-20500.0,-153.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
21,0,6,1,1,2.7045608457714364e-5,0.00041387728477064976,0.06534692637867695,17875.0,16197.0,-16286.0,14942.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
15,1,9,1,1,2.6487126519161083e-5,0.0003095944513162586,0.08555426754759182,2192.0,-2.0,3608.0,36970.0,"DomainError(""Height or Weight cannot be negative."", """")",Obese
12,2,20,0,1,2.6018625216103082e-5,0.0012664297477994876,0.020544862643437037,1.0,30686.0,437.0,491.0,Severely obese,Obese
11,4,17,0,1,2.563192699496872e-5,9.760249889020679e-5,0.26261547897254267,0.0,2.0,4478.0,38758.0,Severely obese,Normal
15,6,6,1,1,2.4968730834533217e-5,0.9245283018867925,2.7006994576127766e-5,57.0,0.0,-16778.0,-32979.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
20,5,10,1,1,2.4429988017824293e-5,0.0009851332864828062,0.02479866263076542,-27.0,4.054235e6,893.0,4.015467e6,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
16,3,6,1,1,2.38408733580205e-5,0.0006093624143405342,0.0391242925342247,24929.0,17.0,-13850.0,-83.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
19,0,14,0,1,2.350625013381621e-5,0.0002335087043192437,0.10066541289047372,41401.0,26994.0,1025.0,22658.0,Underweight,Severely obese
16,8,6,1,1,2.324512359434548e-5,2.646045502229227e-5,0.8784854067990157,1.003168e6,1.0,963395.0,-1.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
