x,y,output,outputtype,datatype,metric,n_x,n_y,n_output,n_outputtype,n_datatype,count
51269574467556062332517340873576805154,-10000,"InexactError(:check_top_bit, UInt128, -10000)",error,InexactError,1.0,51269574467556062332517340873576805154,-9999,"InexactError(:check_top_bit, UInt128, -9999)",error,InexactError,1
5347826246951516843,-10,"InexactError(:check_top_bit, UInt64, -10)",error,InexactError,1.0,5347826246951516843,-9,"InexactError(:check_top_bit, UInt64, -9)",error,InexactError,1
12706120417248211564,-1000000000,"InexactError(:check_top_bit, UInt64, -1000000000)",error,InexactError,1.0,12706120417248211564,-999999999,"InexactError(:check_top_bit, UInt64, -999999999)",error,InexactError,1
-100,8922221119812796488,"InexactError(:check_top_bit, UInt64, -100)",error,InexactError,1.0,-99,8922221119812796488,"InexactError(:check_top_bit, UInt64, -99)",error,InexactError,1
-1000000000,1443577063745223870,"InexactError(:check_top_bit, UInt64, -1000000000)",error,InexactError,1.0,-999999999,1443577063745223870,"InexactError(:check_top_bit, UInt64, -999999999)",error,InexactError,1
28191994569815346717917922290184684530,-10000,"InexactError(:check_top_bit, UInt128, -10000)",error,InexactError,1.0,28191994569815346717917922290184684530,-9999,"InexactError(:check_top_bit, UInt128, -9999)",error,InexactError,1
-10,17961763707779065822,"InexactError(:check_top_bit, UInt64, -10)",error,InexactError,1.0,-9,17961763707779065822,"InexactError(:check_top_bit, UInt64, -9)",error,InexactError,1
310705621608997937682236896840675519834,-1000,"InexactError(:check_top_bit, UInt128, -1000)",error,InexactError,1.0,310705621608997937682236896840675519834,-999,"InexactError(:check_top_bit, UInt128, -999)",error,InexactError,1
-100,320212904637356251,"InexactError(:check_top_bit, UInt64, -100)",error,InexactError,1.0,-99,320212904637356251,"InexactError(:check_top_bit, UInt64, -99)",error,InexactError,1
3907619471580802318,-10,"InexactError(:check_top_bit, UInt64, -10)",error,InexactError,1.0,3907619471580802318,-9,"InexactError(:check_top_bit, UInt64, -9)",error,InexactError,1
273663097634059235961721233191892209931,-10000,"InexactError(:check_top_bit, UInt128, -10000)",error,InexactError,1.0,273663097634059235961721233191892209931,-9999,"InexactError(:check_top_bit, UInt128, -9999)",error,InexactError,1
-10000,11234774691150187110,"InexactError(:check_top_bit, UInt64, -10000)",error,InexactError,1.0,-9999,11234774691150187110,"InexactError(:check_top_bit, UInt64, -9999)",error,InexactError,1
15083728347963937800,-10,"InexactError(:check_top_bit, UInt64, -10)",error,InexactError,1.0,15083728347963937800,-9,"InexactError(:check_top_bit, UInt64, -9)",error,InexactError,1
-1000000000,91735296345542216182858504281939203309,"InexactError(:check_top_bit, UInt128, -1000000000)",error,InexactError,1.0,-999999999,91735296345542216182858504281939203309,"InexactError(:check_top_bit, UInt128, -999999999)",error,InexactError,1
-1000000000,86694371807784292134551828855785487829,"InexactError(:check_top_bit, UInt128, -1000000000)",error,InexactError,1.0,-999999999,86694371807784292134551828855785487829,"InexactError(:check_top_bit, UInt128, -999999999)",error,InexactError,1
11631530876730752440,-1000000000,"InexactError(:check_top_bit, UInt64, -1000000000)",error,InexactError,1.0,11631530876730752440,-999999999,"InexactError(:check_top_bit, UInt64, -999999999)",error,InexactError,1
