bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i1_3,i2_1,i2_2,i2_3,output1,output2
44,61,2,2,1,6.876626853601923e-21,1.4183203831590141e-16,4.848429829574658e-5,999786.0,1,109621500206,-5,1.3269587247155046e20,92.0,"ArgumentError(""Day: 999786 out of range (1:31)"")","InexactError(:Int64, Int64, 132695872471550462238)"
36,64,2,2,1,6.675967215532767e-21,9.040229490028944e-21,0.7384732016920725,-1.3462231736610882e20,9,33,1,12408.0,28605.0,"InexactError(:Int64, Int64, -134622317366108817679)","ArgumentError(""Month: 12408 out of range (1:12)"")"
54,58,1,2,1,6.2912188174322566e-21,1.5282151308392214e-17,0.00041167102003350964,1891.0,12195,-1,142437247960271118749,8.055241373047663e15,689552.0,"ArgumentError(""Month: 12195 out of range (1:12)"")","InexactError(:Int64, Int64, 142437247960271118749)"
38,58,3,2,1,4.8688680358433876e-21,9.063773775625324e-20,0.05371789010154853,0.0,186469366217858343183,-2040755,1,297.0,2222.0,"InexactError(:Int64, Int64, 186469366217858343183)","ArgumentError(""Month: 297 out of range (1:12)"")"
42,76,39,1,1,4.846755791903776e-21,5.164771076470882e-20,0.09384260638354551,23.0,1,-6,0,2.4516529475807e14,2.0183828349648306e20,0006-01-23,"InexactError(:Int64, Int64, 201838283496483076277)"
57,75,2,2,1,4.8143427899885955e-21,4.614240061304751e-18,0.0010433663454924931,2.87961513342e12,-237,66233485107909172,0,1.8613212196557105e20,1.0,"ArgumentError(""Month: -237 out of range (1:12)"")","InexactError(:Int64, Int64, 186132121965571035310)"
44,89,12,2,1,4.6592140182309664e-21,5.51218665139722e-19,0.008452569393763102,4.0,193876743229172488423,0,28,4.7526015219744115e17,0.0,"InexactError(:Int64, Int64, 193876743229172488423)","ArgumentError(""Month: 475260152197441137 out of range (1:12)"")"
46,53,3,2,1,4.655226642427544e-21,5.646178623133423e-14,8.244915637904604e-8,-18.0,185,789076337,192494150110080988741,3.07012006e8,1.0,"ArgumentError(""Month: 185 out of range (1:12)"")","InexactError(:Int64, Int64, 192494150110080988741)"
35,58,4,2,1,4.347347677467965e-21,9.036579558190676e-20,0.048108331802684874,0.0,19171,202785471228259537962,1,-4.0,-1000.0,"InexactError(:Int64, Int64, 202785471228259537962)","ArgumentError(""Month: -4 out of range (1:12)"")"
47,54,2,2,1,4.083314324700812e-21,7.237818530743871e-16,5.641636782348489e-6,480646.0,1,217347950568323633932,-158622389,4.079127e7,1.0,"InexactError(:Int64, Int64, 217347950568323633932)","ArgumentError(""Month: 40791270 out of range (1:12)"")"
55,60,1,2,1,4.070955809582473e-21,3.041121749978984e-17,0.0001338636248157643,2.2107830251561517e20,187,0,3070183,1.485264e6,-3.95149585753439e14,"InexactError(:Int64, Int64, 221078302515615162358)","ArgumentError(""Month: 1485264 out of range (1:12)"")"
45,71,3,2,1,4.049009569190789e-21,2.812440748793101e-19,0.014396781766614406,-14570.0,1,1,48,1.911746945492e12,-2.188377019677369e20,"ArgumentError(""Day: -14570 out of range (1:31)"")","InexactError(:Int64, Int64, -218837701967736913408)"
70,74,7,2,1,3.8292143651041504e-21,1.5239679037751015e-18,0.002512660769048089,2.3610836654233915e20,863338465843861,54003790410111,0,3.0,-7.031117870194603e16,"InexactError(:Int64, Int64, 236108366542339133768)","ArgumentError(""Day: 0 out of range (1:31)"")"
31,62,1,2,1,3.8064984045581e-21,9.038590811653837e-20,0.042113848097318676,0.0,229028040771260818524,46,7,-1864.0,1.0,"InexactError(:Int64, Int64, 229028040771260818524)","ArgumentError(""Month: -1864 out of range (1:12)"")"
44,77,4,2,1,3.6326168171193366e-21,9.688840653354715e-20,0.037492791419389895,1.0,250578702922090672775,-7,1155224035451739,-1.0,-6.0,"InexactError(:Int64, Int64, 250578702922090672775)","ArgumentError(""Month: -1 out of range (1:12)"")"
47,53,0,2,1,3.63244645064455e-21,2.3131990271466573e-15,1.5703129769707674e-6,0.0,-248438355981851684473,3321,-185265,-117954.0,184973.0,"InexactError(:Int64, Int64, -248438355981851684473)","ArgumentError(""Month: -117954 out of range (1:12)"")"
48,55,0,2,1,3.383883995752452e-21,2.2326172784033808e-13,1.515657891070511e-8,5.16006404e8,4107256352,265592490269556163084,0,109525.0,0.0,"InexactError(:Int64, Int64, 265592490269556163084)","ArgumentError(""Month: 109525 out of range (1:12)"")"
41,69,4,2,1,3.1028237395239297e-21,3.860215309150368e-18,0.0008037955116567993,96.0,10619877094,0,-292651485627352107176,0.0,7211.0,"ArgumentError(""Month: 10619877094 out of range (1:12)"")","InexactError(:Int64, Int64, -292651485627352107176)"
40,66,4,2,1,3.05989053829638e-21,3.786639126558143e-18,0.0008080755614749221,164.0,80,3,0,-3.3901255754e10,2.9630689572688475e20,"ArgumentError(""Month: 80 out of range (1:12)"")","InexactError(:Int64, Int64, 296306895726884717260)"
55,63,7,2,1,3.03290180552881e-21,3.3471707153431274e-18,0.0009061090883791087,-2.8704794652668412e20,904947,-782254912,0,-3.043682106582e12,30.0,"InexactError(:Int64, Int64, -287047946526684134520)","ArgumentError(""Month: -3043682106582 out of range (1:12)"")"
52,76,5,2,1,2.823006156140821e-21,3.976179925733805e-18,0.0007099794800205965,-659.0,321605648300391467507,-51940347089054290,-264956,0.0,1.0,"InexactError(:Int64, Int64, 321605648300391467507)","ArgumentError(""Month: 0 out of range (1:12)"")"
57,71,4,2,1,2.691096511104235e-21,2.9657408537508947e-18,0.0009073943556803672,0.0,23190829023,109395,0,-2.00301900618534e14,-3.191912127379361e20,"ArgumentError(""Month: 23190829023 out of range (1:12)"")","InexactError(:Int64, Int64, -319191212737936108316)"
54,88,5,2,1,2.3717682481245796e-21,1.4945288413996392e-19,0.015869671982398133,0.0,381459100942373767296,1,2,-1.520066003e9,3.0711225076950436e18,"InexactError(:Int64, Int64, 381459100942373767296)","ArgumentError(""Month: -1520066003 out of range (1:12)"")"
