bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i1_3,i2_1,i2_2,i2_3,output1,output2
143,92,13,2,1,1.0802922093402694e-36,1.0802922093402694e-36,1.0,1.0118721414e10,18850462268824267816652522164595,28707252835391649147528,723354880458104,1.8746940705116516e25,5.7504082275826816e35,"InexactError(:Int64, Int64, 28707252835391649147528)","InexactError(:Int64, Int64, 575040822758268130570711552971418907)"
90,250,6,2,1,1.0490110728563e-36,5.839802583401981e-33,0.00017963125600132837,246.0,-550484931641367990109636821233172107,-9,3,-8.39064696997778e14,-2.4240124799639253e29,"InexactError(:Int64, Int64, -550484931641367990109636821233172107)","InexactError(:Int64, Int64, -242401247996392539488168395158)"
63,172,8,2,1,9.828896759881625e-37,7.797272528600289e-35,0.012605557550835072,8.642499624765907e35,108663,15,-415,8.803559654393e12,18.0,"InexactError(:Int64, Int64, 864249962476590719582113458392503585)","ArgumentError(""Month: 8803559654393 out of range (1:12)"")"
49,204,56,1,1,9.747923779308974e-37,9.169657254240823e-36,0.10630630468549641,1.0,3,6,1008172245638262949450707304882573489,83.0,-241544.0,0006-03-01,"InexactError(:Int64, Int64, 1008172245638262949450707304882573489)"
100,139,2,2,1,9.561737074020844e-37,1.665661536887441e-24,5.74050421545334e-13,5.97620042263176e35,30910304593496352650,3072580,9052,9.520903909813816e21,3.8435777647e10,"InexactError(:Int64, Int64, 30910304593496352650)","InexactError(:Int64, Int64, 9520903909813815378501)"
83,194,12,2,1,9.2727851106161e-37,1.8818487749277115e-31,4.927486859815449e-6,103.0,2380,918823708567990849696450,1,6.9869765794736e35,7.28032721102512e14,"InexactError(:Int64, Int64, 918823708567990849696450)","InexactError(:Int64, Int64, 698697657947360004550326753134409226)"
78,195,14,2,1,9.156339228850603e-37,1.927154185853719e-30,4.751222967037479e-7,-5.813000711452926e35,-31,-4964,256,-1.7830596055577151e21,2.887653e6,"InexactError(:Int64, Int64, -581300071145292635563152005174459444)","InexactError(:Int64, Int64, -1783059605557715153082)"
93,247,13,2,1,8.548786666987385e-37,4.471178674447743e-34,0.001911976078219081,-57.0,0,745931772847733859180250509935677538,79188719974169271347490575786,8.0,1.257211436305346e22,"InexactError(:Int64, Int64, 745931772847733859180250509935677538)","InexactError(:Int64, Int64, 12572114363053460587441)"
98,145,10,2,1,8.27948929399346e-37,9.671716273487406e-26,8.560517140778428e-12,-7.751591e6,-3850,86525979777749623300152923,-298159415,7.320024032162059e35,-1.38409626514e11,"InexactError(:Int64, Int64, 86525979777749623300152923)","InexactError(:Int64, Int64, 732002403216205974184832437453295485)"
71,188,21,2,1,7.957754325559947e-37,7.965478256619596e-34,0.0009990303242553918,1.092642450435076e15,0,12,1157799395298510960578400006672092488,435.0,2.0609697689e11,"ArgumentError(""Month: 0 out of range (1:12)"")","InexactError(:Int64, Int64, 1157799395298510960578400006672092488)"
45,209,56,1,1,7.923418791446673e-37,9.637975561009297e-36,0.08221040550778203,11.0,854,1262081465489997358131156394822695786,4,6.0,0.0,"InexactError(:Int64, Int64, 1262081465489997358131156394822695786)",0000-06-04
82,263,3,2,1,7.919959971878961e-37,6.228420383153122e-35,0.0127158404293024,89062.0,296547603658916132985497068589967,31,1,7.959280767259884e35,78786.0,"InexactError(:Int64, Int64, 296547603658916132985497068589967)","InexactError(:Int64, Int64, 795928076725988442785280819973140478)"
95,176,13,2,1,7.475422861002348e-37,1.738149195040514e-30,4.3007947087235545e-7,2.2235100600763336e18,1,823210441505565506796981560491796723,-7,5.8428262419083e13,5.16953048836328e22,"InexactError(:Int64, Int64, 823210441505565506796981560491796723)","InexactError(:Int64, Int64, 51695304883632795131175)"
73,222,0,2,1,7.4196626051446065e-37,1.566952218503334e-36,0.47350918027554517,1.2393289005452506e36,17056129652775484267150,0,-460624076,3.0,0.0,"InexactError(:Int64, Int64, 17056129652775484267150)","ArgumentError(""Day: -460624076 out of range (1:31)"")"
74,194,8,2,1,7.405933636135662e-37,3.530095038003582e-30,2.097941714431584e-7,0.0,-1192258487297199625252511008927528767,-1339930042359,51,1.76646893854976e14,2604.0,"InexactError(:Int64, Int64, -1192258487297199625252511008927528767)","ArgumentError(""Month: 176646893854976 out of range (1:12)"")"
47,204,21,2,1,7.37418227206189e-37,9.068527309157765e-36,0.08131620516393155,4.0,467,1214166946484975486843560881032037862,10,0.0,202.0,"InexactError(:Int64, Int64, 1214166946484975486843560881032037862)","ArgumentError(""Month: 0 out of range (1:12)"")"
54,193,15,2,1,7.073571914389668e-37,8.636394948884661e-36,0.08190421994657826,11777.0,-877541,0,1289430464730929566894865316148901306,5.0,-15.0,"ArgumentError(""Month: -877541 out of range (1:12)"")","InexactError(:Int64, Int64, 1289430464730929566894865316148901306)"
63,205,17,2,1,7.012047985136617e-37,7.539605334878342e-36,0.09300285192248411,3.360858137167191e16,1318774749910217833561795936435054238,3,-1,48822.0,3.0,"InexactError(:Int64, Int64, 1318774749910217833561795936435054238)","ArgumentError(""Month: 48822 out of range (1:12)"")"
45,210,23,2,1,6.338930735672576e-37,8.821423230466509e-36,0.0718583676359597,0.0,4,0,1,1814.0,1.4491476393539176e36,"ArgumentError(""Day: 0 out of range (1:30)"")","InexactError(:Int64, Int64, 1449147639353917721516687889424445791)"
78,187,22,2,1,6.047685669284075e-37,6.047685669284075e-37,1.0,-2.597078e6,0,14518118,1664,-1.5014768072742588e36,-1.8327608359506586e17,"ArgumentError(""Month: 0 out of range (1:12)"")","InexactError(:Int64, Int64, -1501476807274258789127446310917731781)"
95,242,14,2,1,6.042489496135335e-37,2.7610930268027244e-30,2.1884411128053822e-7,1.3443444258e10,3,77314862068,35099200810713497220262613923985,57.0,-1.4480786442452257e36,"ArgumentError(""Day: 13443444258 out of range (1:31)"")","InexactError(:Int64, Int64, -1448078644245225804084940854882246299)"
48,216,56,1,1,5.88201922705196e-37,7.165553450715961e-37,0.8208743773259057,-1.5904128069921358e36,47,-2,25,1.0,-30.0,"InexactError(:Int64, Int64, -1590412806992135700198830502793679825)",0030-01-25
66,228,15,2,1,5.6689710388759935e-37,8.653634261138008e-30,6.550971381277774e-8,1.2192273797984991e36,49,0,-10,0.0,-1.4648378157838259e20,"InexactError(:Int64, Int64, 1219227379798499126801265219680564476)","InexactError(:Int64, Int64, -146483781578382589060)"
57,195,20,2,1,5.612225788324078e-37,8.875538007147516e-33,6.323251372259939e-5,51953.0,1643237918440227597285435510174418115,-9131879135,0,-2.0,1.0,"InexactError(:Int64, Int64, 1643237918440227597285435510174418115)","ArgumentError(""Month: -2 out of range (1:12)"")"
107,186,14,2,1,5.579781495462593e-37,5.37084023968614e-33,0.00010389028990720199,18.0,287237929294295629067303,-3570811485649308414902,-500936984260777214,1.2368599839111918e36,14.0,"InexactError(:Int64, Int64, -3570811485649308414902)","InexactError(:Int64, Int64, 1236859983911191696627605501513605409)"
56,190,19,2,1,5.455557599399534e-37,9.040130129572437e-36,0.06034821978450392,1.01964684e8,188,-2,46,371.0,1.6476343400596064e36,"ArgumentError(""Month: 188 out of range (1:12)"")","InexactError(:Int64, Int64, 1647634340059606252027668838532404261)"
80,185,4,2,1,5.435934092453183e-37,8.630634236116405e-29,6.29841787258874e-9,4.65137561e8,6,1590496350082043414636150952036713002,-1219672966149488943,1.0,4.48873117481e11,"InexactError(:Int64, Int64, 1590496350082043414636150952036713002)","ArgumentError(""Day: -1219672966149488943 out of range (1:31)"")"
70,203,20,2,1,5.164546701673612e-37,1.0274168533886535e-33,0.0005026729593387306,1.0,1772977772290609764373737815886450340,103,-365853,28.0,-1.3670692463462743e18,"InexactError(:Int64, Int64, 1772977772290609764373737815886450340)","ArgumentError(""Month: 28 out of range (1:12)"")"
46,207,22,2,1,5.122723093071995e-37,8.640035731566596e-36,0.05929053133838315,81.0,9,-28,1772584542466372678857738756862681627,52.0,0.0,"ArgumentError(""Day: 81 out of range (1:30)"")","InexactError(:Int64, Int64, 1772584542466372678857738756862681627)"
71,168,20,2,1,4.937898182262125e-37,8.986839457322605e-34,0.0005494588176089709,-2.0460983e7,47,-2,-83058208,2.00829276284e11,1.8431169010731317e36,"ArgumentError(""Month: 47 out of range (1:12)"")","InexactError(:Int64, Int64, 1843116901073131795027860586394459470)"
101,133,3,2,1,4.803389063069963e-37,3.3528925095564064e-24,1.4326105144675395e-13,3.872581879e9,-4064,-2775436690,217836279795455,1.8683389699486976e36,9.73564817931645e22,"ArgumentError(""Month: -4064 out of range (1:12)"")","InexactError(:Int64, Int64, 97356481793164501117627)"
46,207,20,2,1,4.752796917679316e-37,9.201063239674108e-36,0.051654866333117985,1.9127493238966284e36,241,-1,1,-1.0,0.0,"InexactError(:Int64, Int64, 1912749323896628311958292515187234996)","ArgumentError(""Month: -1 out of range (1:12)"")"
66,220,16,2,1,4.667421466001842e-37,6.597012328668628e-32,7.0750534233786936e-6,1.0,38,1272115673129069254315867397429607377,339693949943657386516,37.0,209.0,"InexactError(:Int64, Int64, 1272115673129069254315867397429607377)","InexactError(:Int64, Int64, 339693949943657386516)"
88,265,19,2,1,4.5405164243702965e-37,7.579595090693768e-35,0.005990447207325291,-3.0,523,42949031,5049942408961642612981873578402895,1879.0,2.0066180599543545e36,"ArgumentError(""Month: 523 out of range (1:12)"")","InexactError(:Int64, Int64, 2006618059954354645827198721851665286)"
83,196,15,2,1,4.4837764270905585e-37,9.174091596675494e-30,4.8874336819521065e-8,1.3647877151282042e36,1548956,6,137366360323006,1.155438331708039e21,4.0,"InexactError(:Int64, Int64, 1364787715128204282133147180967465822)","InexactError(:Int64, Int64, 1155438331708038936279)"
57,206,20,2,1,4.448306226667418e-37,8.450544492909684e-36,0.05263928531942184,1.0,-1,13470777208749,-2,2.0436787909091e36,0.0,"ArgumentError(""Month: -1 out of range (1:12)"")","InexactError(:Int64, Int64, 2043678790909100145005813702209448652)"
107,256,5,2,1,4.4176619790708996e-37,8.026007454014771e-34,0.0005504183748123851,0.0,100613950000622809086325491,1407188649864820809731551596442206226,-1,8.4557617e7,6.057042684198322e31,"InexactError(:Int64, Int64, 1407188649864820809731551596442206226)","InexactError(:Int64, Int64, 60570426841983217344847616499371)"
88,301,18,2,1,4.353677822597476e-37,1.8626878398690014e-36,0.23373094135320388,1.7626937343563008e36,1069927302781301648919876547539538478,12077,1,3165.0,-242.0,"InexactError(:Int64, Int64, 1069927302781301648919876547539538478)","ArgumentError(""Month: 3165 out of range (1:12)"")"
48,204,23,2,1,4.349137773057342e-37,8.778061428059638e-36,0.04954553814302374,0.0,1,-168,2112153486729009960371057706712764642,1.0,5180.0,"ArgumentError(""Day: 0 out of range (1:31)"")","InexactError(:Int64, Int64, 2112153486729009960371057706712764642)"
76,225,14,2,1,4.266295155160955e-37,1.8013695469482066e-31,2.3683619845737405e-6,101.0,-19,270785712443521781546916,2245947,-1.2785204155289323e36,0.0,"InexactError(:Int64, Int64, 270785712443521781546916)","InexactError(:Int64, Int64, -1278520415528932284494010742501707841)"
74,216,13,2,1,3.9624953161146144e-37,1.8824281074888334e-31,2.1049915799443725e-6,54.0,25,1529492296422126375041643623343678352,119548324394750543257251,1438.0,49758.0,"InexactError(:Int64, Int64, 1529492296422126375041643623343678352)","InexactError(:Int64, Int64, 119548324394750543257251)"
54,194,16,2,1,3.7079906292773823e-37,9.033895713277159e-36,0.04104531142448026,2.0,-47758,2819786,0,2.4241603994278598e36,-3.0,"ArgumentError(""Month: -47758 out of range (1:12)"")","InexactError(:Int64, Int64, 2424160399427859753142461530412571550)"
84,205,18,2,1,3.670479692932716e-37,6.5171490050993945e-34,0.0005632032795415174,1.713270292056743e23,-2428304805887467237565271078727734192,109384953628,91,31004.0,-40.0,"InexactError(:Int64, Int64, -2428304805887467237565271078727734192)","ArgumentError(""Month: 31004 out of range (1:12)"")"
73,182,18,2,1,3.545047648477321e-37,5.553665980222302e-32,6.383256863307829e-6,-2.0,4272,-41,2500286947466981762022422337713866872,-4.1563725e7,2.895936679446487e17,"ArgumentError(""Month: 4272 out of range (1:12)"")","InexactError(:Int64, Int64, 2500286947466981762022422337713866872)"
64,189,20,2,1,3.5296974237074854e-37,6.444831624645352e-34,0.000547678764827579,4.47192657e8,794,2,5127,-2.572588717980565e36,1.74114135e8,"ArgumentError(""Month: 794 out of range (1:12)"")","InexactError(:Int64, Int64, -2572588717980564808451361374556417639)"
102,201,4,2,1,3.4616715806462156e-37,2.918313344191936e-31,1.186189134739653e-6,4.39213964832e11,11565,-36261725573265881353861582199050,2555128,1.763279953168153e36,-4.391746e6,"InexactError(:Int64, Int64, -36261725573265881353861582199050)","InexactError(:Int64, Int64, 1763279953168153025119693597142450166)"
87,243,14,2,1,2.934974060741063e-37,5.175825333131435e-34,0.0005670543095714107,3.042129587444574e36,-14,4244893266577813073233965278679,1529,4.0,1.0809267396e10,"InexactError(:Int64, Int64, 4244893266577813073233965278679)","ArgumentError(""Day: 1529 out of range (1:30)"")"
74,221,13,2,1,2.821633988419398e-37,8.593091525074305e-31,3.2836075121345795e-7,-3.691204e6,1,1803111005583140205214058360836803203,165,0.0,3.022818163421812e23,"InexactError(:Int64, Int64, 1803111005583140205214058360836803203)","InexactError(:Int64, Int64, 302281816342181195280584)"
94,235,7,2,1,2.800823743498252e-37,3.344657432201794e-34,0.0008374022752023559,1.0,3123018303053,1434051702672141309500712066977,-1983543437337177597601506600000291125,123.0,8.581106e7,"InexactError(:Int64, Int64, 1434051702672141309500712066977)","InexactError(:Int64, Int64, -1983543437337177597601506600000291125)"
104,262,5,2,1,2.7828280622336826e-37,5.697894659129041e-33,4.8839584244947334e-5,-2.2587506275088688e36,31213446403771797692513662,623,-124371799682391588319104507060,1.0,21682.0,"InexactError(:Int64, Int64, 31213446403771797692513662)","InexactError(:Int64, Int64, -124371799682391588319104507060)"
53,197,20,2,1,2.679252017807438e-37,9.144687716501238e-36,0.029298452838064995,1940.0,36707697,3372637033864387694841382631010231350,0,36.0,1.0,"InexactError(:Int64, Int64, 3372637033864387694841382631010231350)","ArgumentError(""Month: 36 out of range (1:12)"")"
75,210,5,2,1,2.657586266006159e-37,1.1599376277434458e-32,2.2911458361569438e-5,-1.2085180763028653e17,1,-397727169514804,3348903519649425347893219050685545007,0.0,1.0,"ArgumentError(""Day: -120851807630286525 out of range (1:31)"")","InexactError(:Int64, Int64, 3348903519649425347893219050685545007)"
75,293,5,2,1,2.645197913256833e-37,6.14646453459687e-36,0.04303608844348964,0.0,991,2289559506027045122205984355239091243,30826211054895500755972807100103,0.0,2.0,"InexactError(:Int64, Int64, 2289559506027045122205984355239091243)","InexactError(:Int64, Int64, 30826211054895500755972807100103)"
86,277,3,2,1,2.5978744445544395e-37,6.282998726991057e-36,0.041347683764350655,2.2887729176512685e36,13,4,225060409,278.0,1.4981539837401693e33,"InexactError(:Int64, Int64, 2288772917651268409115742286710194415)","InexactError(:Int64, Int64, 1498153983740169220014104948567773)"
54,204,21,2,1,2.5351798695065394e-37,8.96565592878144e-37,0.28276568827141085,-3.4962554216563846e36,503368,13,-256,1.0,151.0,"InexactError(:Int64, Int64, -3496255421656384538765270452481065850)","ArgumentError(""Day: -256 out of range (1:31)"")"
52,193,19,2,1,2.5074957751215542e-37,9.208604508043349e-36,0.027229921460209923,10.0,121,31798,358,-2.0,3.674376338927542e36,"ArgumentError(""Month: 121 out of range (1:12)"")","InexactError(:Int64, Int64, 3674376338927542442988914769519052768)"
