bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,i1_1,i1_2,i2_1,i2_2,output1,output2,fitness_max,fitness_ratio_max
24,27,9,0,1,6.743490578567136e-10,-1.0,6.0,-1.03104762e8,-1.479322827e9,in,out,9.92694430627148e-10,0.6793118174650024
15,18,6,1,1,6.276626598178432e-10,1.563708572e9,-21.0,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.81370880979376e-9,0.06395774237681237
19,22,9,0,1,6.219241611066123e-10,577184.0,-1.607912986e9,1.0,1.0,out,in,9.995737123910182e-10,0.6221893927351753
18,20,9,0,1,6.115487733624722e-10,2801.0,-1.635192553e9,64.0,0.0,out,in,9.999543080838283e-10,0.6115767174745795
20,14,9,0,1,5.300210729036311e-10,-1.0,19.0,453804.0,1.886717401e9,in,out,9.995035796748584e-9,0.05302843168166027
25,14,9,0,1,5.168569405218379e-10,1.808272241e9,6.88107253e8,-12.0,-29.0,out,in,9.78451709655189e-9,0.05282396008117567
23,30,6,1,1,4.960768545808326e-10,-1.254855585e9,1.529623242e9,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.710539663286556e-10,0.5108643512949044
17,18,6,1,1,4.813085422888064e-10,0.0,0.0,-6431.0,2.039193979e9,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,9.812314229406366e-9,0.04905148072473877
25,24,9,0,1,4.311956749491267e-10,-1.392237775e9,1.854737316e9,0.0,-15.0,out,in,9.913583138339121e-10,0.4349544144957535
22,23,9,0,1,3.506355538617426e-10,16.0,2.0,-2.85177067e9,3.3211299e7,in,out,9.99570745841369e-10,0.35078613026694977
17,22,9,0,1,3.3944729392475376e-10,5401.0,-2.945965446e9,0.0,4.0,out,in,9.999950430242777e-10,0.33944897656508954
22,17,6,1,1,3.27562642265498e-10,-28670.0,4.0,2811.0,-3.052851179e9,out,"DomainError(-9.12684375257996e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",3.391891931370758e-10,0.9657225197417207
13,20,5,1,1,3.219447305721914e-10,1.0,1.0,0.0,3.075061979e9,in,"DomainError(-8.990737899018155e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",3.260447745801351e-10,0.9874249050204116
23,16,6,1,1,3.2047914041714125e-10,2.0,1.2536837e7,3.120302723e9,4068.0,out,"DomainError(-8.710454990531788e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",3.3780014287965225e-10,0.9487241114972472
22,27,5,1,1,3.203197712400284e-10,1.0,6.0,-2.56535385e8,3.080610752e9,in,"DomainError(-8.890771064614448e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",3.259473653597374e-10,0.9827346537576765
26,15,6,1,1,3.169711633291453e-10,3.154833247e9,2.075012e6,0.0,1.5337104e7,"DomainError(-8.493766951658189e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out,3.371165950354049e-10,0.9402419459530201
21,15,6,1,1,3.153690868242608e-10,-7.0,-250987.0,10.0,3.170636845e9,out,"DomainError(-8.393806070837998e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",3.29412995206811e-10,0.9573668659497383
23,14,6,1,1,3.153646609427791e-10,70381.0,-196652.0,0.0,3.17073568e9,out,"DomainError(-8.393179321284489e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",3.383704039321024e-10,0.932010179607967
29,14,6,1,1,3.1521283989359306e-10,-6.1496346e7,-1.0,-3.233955749e9,1.118337e6,out,"DomainError(-7.988273036541755e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",2.709510989853363e-7,0.0011633569344210416
24,16,6,1,1,3.138002263145122e-10,1.0,-3.186296468e9,118546.0,444380.0,"DomainError(-8.294258891720277e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out,4.862100637391534e-10,0.6454005166023522
24,27,6,1,1,3.088241464787416e-10,0.0,-3.363783414e9,-2.0,-1.25694646e8,"DomainError(-7.131705217408056e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out,1.6336061590663746e-9,0.1890444307918368
30,4,6,1,1,3.081619393777175e-10,1.049464e6,1.1489075e7,3.246076346e9,41194.0,out,"DomainError(-7.909732427951895e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",3.38050151992616e-10,0.9115864541437884
16,16,6,1,1,3.0527780867485994e-10,3.275705354e9,1.0,499.0,60.0,"DomainError(-7.716498507485286e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out,3.2927130466407773e-10,0.9271315305969466
17,16,5,1,1,3.0384459526696557e-10,3.258889886e9,1447.0,0.0,19.0,"DomainError(-7.826380784634365e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",in,3.260309503401922e-10,0.9319501567256833
21,11,6,1,1,3.0366102270955196e-10,19.0,63520.0,2425.0,3.293209249e9,out,"DomainError(-7.601516916004527e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",3.292511924304357e-10,0.922277670334359
15,23,5,1,1,3.023701744203497e-10,-3.273798388e9,56.0,1.0,0.0,"DomainError(-7.72898818843815e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",in,3.2603688060145853e-10,0.9274109538238449
19,16,5,1,1,3.0155118241785094e-10,3.283675021e9,124493.0,25.0,0.0,"DomainError(-7.664222414671694e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",in,3.260170096110456e-10,0.924955365910559
18,16,5,1,1,3.0016034312147506e-10,3.29920753e9,-8485.0,7.0,20.0,"DomainError(-7.561973747628855e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",in,3.2603576016685906e-10,0.9206362607827392
